file,line,raw,context
src/components/ScreenerPage.jsx,421,500,"stepIndicator:{ fontFamily: '""Space Mono"", monospace', fontSize: 11, color: '#888780', fontWeight: 500 },"
src/components/ScreenerPage.jsx,425,700,"pageTitle:    { fontFamily: '""DM Serif Display"", Georgia, serif', fontSize: 21, fontWeight: 700, color: 'var(--tx, #1c1c1e)' },"
src/components/ScreenerPage.jsx,429,700,"partLabel:    { fontSize: 13, fontWeight: 700, color: 'var(--tx, #1c1c1e)', padding: '10px 14px', background: '#f5f4f0', borderLeft: `3px so"
src/components/ScreenerPage.jsx,432,700,"stepNum:      { width: 24, height: 24, borderRadius: '50%', background: '#f0ede8', fontSize: 11, fontFamily: '""Space Mono"", monospace', font"
src/components/ScreenerPage.jsx,436,700,"eligNum:      { fontFamily: '""Space Mono"", monospace', fontSize: 12, fontWeight: 700, color: '#a09d98', flexShrink: 0, width: 20, paddingTop"
src/components/ScreenerPage.jsx,439,700,"eligBtn:      { width: 36, height: 28, borderRadius: 6, border: '1.5px solid #e0ddd8', background: '#f5f4f0', fontSize: 11, fontFamily: '""DM"
src/components/ScreenerPage.jsx,449,700,"outcomeHeading:  { fontFamily: '""DM Serif Display"", Georgia, serif', fontSize: 19, fontWeight: 700, color: 'var(--tx, #1c1c1e)', lineHeight:"
src/components/ScreenerPage.jsx,451,700,"resourcesHeading:{ fontFamily: '""Space Mono"", monospace', fontSize: 11, fontWeight: 700, textTransform: 'uppercase', letterSpacing: '0.06em'"
src/components/ScreenerPage.jsx,453,600,"resourceName:    { fontSize: 13, fontWeight: 600, color: 'var(--tx, #1c1c1e)' },"
src/components/ScreenerPage.jsx,456,500,"btnNext:      { width: '100%', border: 'none', borderRadius: 8, padding: '14px 24px', fontSize: 15, fontFamily: '""DM Sans"", system-ui, sans-"
src/components/ScreenerPage.jsx,457,500,"btnProceed:   { width: '100%', border: 'none', borderRadius: 8, padding: '14px 24px', fontSize: 15, fontFamily: '""DM Sans"", system-ui, sans-"
src/components/study/AssessmentLeadInStep.jsx,98,600,"borderRadius: 999, fontSize: 11, fontWeight: 600,"
src/components/study/builder/ContactSettingsModal.jsx,240,400,"title:     { fontFamily: '""DM Serif Display"",Georgia,serif', fontSize: 22, fontWeight: 400, color: 'var(--tx)' },"
src/components/study/builder/ContactSettingsModal.jsx,252,500,"saveBtn:   { background: 'var(--pk)', color: '#fff', border: 'none', borderRadius: 8, padding: '8px 18px', fontSize: 14, fontWeight: 500, cu"
src/components/study/builder/nodes/AdherenceCheckNode.jsx,53,400,"fontWeight: 400,"
src/components/study/builder/nodes/BlockNode.jsx,67,400,"fontWeight: 400,"
src/components/study/builder/nodes/CounterbalanceNode.jsx,58,400,"fontWeight: 400,"
src/components/study/builder/nodes/RandomizeNode.jsx,101,400,"fontWeight: 400,"
src/components/study/builder/nodes/RandomizeNode.jsx,119,500,"fontWeight: 500,"
src/components/study/builder/nodes/SessionNode.jsx,54,400,"fontWeight: 400,"
src/components/study/builder/nodes/TimepointNode.jsx,52,400,"fontWeight: 400,"
src/components/study/CompensationStep.jsx,156,400,"heading:    { fontFamily: '""DM Serif Display"",Georgia,serif', fontSize: 26, fontWeight: 400, color: 'var(--tx)', margin: '0 0 8px' },"
src/components/study/CompensationStep.jsx,160,500,"optionLabel:{ fontSize: 15, fontWeight: 500, color: 'var(--tx)', fontFamily: '""DM Sans"",system-ui,sans-serif', marginBottom: 2 },"
src/components/study/CompensationStep.jsx,167,500,"btn:        { display: 'block', width: '100%', background: 'var(--pk)', color: '#fff', border: 'none', borderRadius: 9, padding: '12px 20px'"
src/components/study/ConsentGate.jsx,208,700,"fontFamily: MONO, fontSize: 13, fontWeight: 700, letterSpacing: '0.05em',"
src/components/study/ContactEmailGate.jsx,143,700,"fontFamily: MONO, fontSize: 13, fontWeight: 700, letterSpacing: '0.05em',"
src/components/study/DailyFarewellStep.jsx,154,600,"fontSize: 11, fontWeight: 600, letterSpacing: '0.06em', textTransform: 'uppercase',"
src/components/study/DailyFarewellStep.jsx,162,500,"link: { color: '#3b6d11', textDecoration: 'none', fontWeight: 500 },"
src/components/study/DailyFarewellStep.jsx,167,600,"resourceName: { fontSize: 14, fontWeight: 600, color: '#1a1a18', marginBottom: 4, fontFamily: FONT },"
src/components/study/DailyFarewellStep.jsx,171,500,"display: 'inline-flex', alignItems: 'center', gap: 5, fontSize: 12, fontWeight: 500,"
src/components/study/DebriefStep.jsx,69,400,"fontWeight: 400,"
src/components/study/DebriefStep.jsx,92,500,"fontWeight: 500,"
src/components/study/DemographicsStep.jsx,169,400,"fontSize: 32, fontWeight: 400, color: 'var(--tx)', margin: 0,"
src/components/study/DemographicsStep.jsx,174,600,"qLabel:  { fontSize: 16, fontWeight: 600, color: 'var(--tx)', lineHeight: 1.4 },"
src/components/study/DemographicsStep.jsx,199,600,"border: '1px solid var(--pk)', fontWeight: 600,"
src/components/study/DemographicsStep.jsx,221,600,"fontWeight: 600,"
src/components/study/DemographicsStep.jsx,228,500,"fontFamily: '""DM Sans"",system-ui,sans-serif', fontSize: 16, fontWeight: 500,"
src/components/study/DisplayStepWrapper.jsx,89,500,"btn:       { alignSelf: 'center', marginTop: 12, background: 'var(--pk)', color: '#fff', border: 'none', borderRadius: 10, padding: '13px 36"
src/components/study/EnrollmentPanel.jsx,323,400,"sectionTitle:    { fontFamily: '""DM Serif Display"",Georgia,serif', fontSize: 20, fontWeight: 400, color: 'var(--tx)', margin: 0 },"
src/components/study/EnrollmentPanel.jsx,324,500,"btnPrimary:      { display: 'inline-block', background: 'var(--pk)', color: '#fff', border: 'none', borderRadius: 9, padding: '9px 18px', fo"
src/components/study/EnrollmentPanel.jsx,339,500,"actionBtn:       { background: 'none', border: 'none', cursor: 'pointer', fontSize: 13, color: 'var(--pk)', padding: 0, fontFamily: '""DM San"
src/components/study/EnrollmentPanel.jsx,342,500,"runBtn:          { background: 'var(--pk)', color: '#fff', border: 'none', borderRadius: 6, padding: '3px 9px', fontSize: 12, cursor: 'point"
src/components/study/EquityCensusStep.jsx,626,opt.children,"<span style={{ ...S.checkLabel, fontWeight: opt.children ? 600 : 400 }}>{opt.label}</span>"
src/components/study/EquityCensusStep.jsx,684,400,"fontSize: 32, fontWeight: 400, color: 'var(--tx)', margin: 0,"
src/components/study/EquityCensusStep.jsx,691,400,"fontSize: 21, fontWeight: 400, color: 'var(--tx)', margin: 0,"
src/components/study/EquityCensusStep.jsx,694,600,"qLabel: { fontSize: 15, fontWeight: 600, color: 'var(--tx)', lineHeight: 1.5 },"
src/components/study/EquityCensusStep.jsx,731,600,"border: '1px solid var(--pk)', fontWeight: 600,"
src/components/study/EquityCensusStep.jsx,745,500,"fontFamily: '""DM Sans"",system-ui,sans-serif', fontSize: 16, fontWeight: 500,"
src/components/study/InterventionPage.jsx,1091,600,"<span style={{ flex: 1, fontSize: 13, fontWeight: 600, color: '#1a1a18', fontFamily: FONT }}>{cat.label}</span>"
src/components/study/InterventionPage.jsx,1202,600,"<label style={{ fontSize: 12, fontWeight: 600, color: '#5f5e5a', fontFamily: FONT, display: 'block', marginBottom: 4 }}>"
src/components/study/InterventionPage.jsx,1224,600,"<label style={{ fontSize: 12, fontWeight: 600, color: '#5f5e5a', fontFamily: FONT, display: 'block', marginBottom: 4 }}>"
src/components/study/InterventionPage.jsx,1364,500,"fontSize: 10, fontWeight: 500, letterSpacing: '0.04em',"
src/components/study/InterventionPage.jsx,1385,500,"fontSize: 11, fontWeight: 500, color: '#5f5e5a',"
src/components/study/InterventionPage.jsx,1393,600,"fontSize: 22, fontWeight: 600, color: '#1a1a18',"
src/components/study/InterventionPage.jsx,1396,500,"fontSize: 15, fontWeight: 500, color: '#1a1a18', marginTop: 2,"
src/components/study/InterventionPage.jsx,1438,500,"fontSize: 12, fontWeight: 500, color: '#5f5e5a',"
src/components/study/InterventionPage.jsx,1472,600,"fontSize: 15, fontWeight: 600, color: '#1a1a18',"
src/components/study/InterventionPage.jsx,1482,600,"fontSize: 15, fontWeight: 600, color: '#1a1a18',"
src/components/study/InterventionPage.jsx,1506,500,"fontSize: 11, fontWeight: 500, textTransform: 'uppercase',"
src/components/study/InterventionPage.jsx,1559,700,"fontSize: 22, fontWeight: 700, color: '#639922', fontFamily: FONT,"
src/components/study/InterventionPage.jsx,1572,700,"background: '#f0ede8', fontSize: 11, fontWeight: 700, color: '#5f5e5a',"
src/components/study/InterventionPage.jsx,1589,700,"fontSize: 64, fontWeight: 700, color: '#2c2c2a',"
src/components/study/InterventionPage.jsx,1626,600,"fontSize: 14, fontWeight: 600, color: '#1a1a18', fontFamily: FONT,"
src/components/study/InterventionPage.jsx,1642,700,"fontSize: 12, color: '#fff', fontWeight: 700, fontFamily: FONT,"
